id,Espécie,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
383,Inga laurina,1,1,0,0,0,0,0,0,0,0,1,1
384,Inga macrophylla,1,1,0,0,0,0,0,0,0,0,1,1
385,Inga marginata,0,0,1,1,1,0,0,0,0,0,0,0
386,Inga paraensis,1,1,1,0,0,0,0,0,0,0,0,1
387,Inga pilosula,1,1,0,0,0,0,0,0,0,0,0,1
388,Inga rubiginosa,0,0,1,1,1,0,0,0,0,0,0,0
389,Inga sessilis,1,1,1,1,0,0,0,1,1,1,1,1
390,Inga vera,1,1,1,1,1,0,0,0,1,1,1,1
391,Ischaemum minus,0,0,0,0,0,0,0,0,0,1,1,1
392,Jacaranda brasiliana,0,0,0,0,0,0,1,1,1,1,1,0
393,Jacaranda caroba,0,0,0,1,1,1,1,1,1,1,0,0
394,Jacaranda copaia,1,1,1,0,0,0,0,0,0,0,0,0
395,Jacaranda cuspidifolia,0,0,0,0,1,1,1,1,1,1,1,0
396,Jacaranda micrantha,0,0,0,0,0,0,0,0,1,1,0,0
397,Jacaranda puberula,0,1,1,0,0,0,0,0,0,0,0,0
398,Jacaranda ulei,0,0,0,1,1,1,0,0,0,0,0,0
399,Jacaratia corumbensis,1,0,0,0,0,0,0,0,0,0,0,1
400,Jacaratia spinosa,1,1,1,0,0,0,0,0,0,0,0,0
401,Kielmeyera coriacea,0,0,0,0,0,1,1,1,1,0,0,0
402,Kielmeyera lathrophyton,0,0,0,0,0,0,0,1,1,0,0,0
403,Kielmeyera rubriflora,0,0,0,0,0,0,0,1,1,0,0,0
404,Kielmeyera speciosa,0,0,0,0,0,0,1,1,1,0,0,0
405,Laetia procera,0,1,1,0,0,0,0,0,0,0,0,0
406,Lafoensia pacari,0,0,1,1,1,1,1,1,1,1,0,0
407,Laguncularia racemosa,0,1,1,1,1,0,0,0,0,0,0,0
408,Lamanonia brasiliensis,0,0,0,0,0,0,0,0,0,1,1,0
410,Lavoisiera cordata,0,1,1,1,0,0,0,0,0,0,0,0
411,Lecythis lurida,0,0,1,1,1,0,0,0,0,0,0,0
412,Lecythis pisonis,0,0,0,1,1,0,0,1,1,1,1,0
413,Lepidaploa aurea,0,0,0,0,1,1,1,1,1,0,0,0
414,Leptolobium dasycarpum,1,1,1,1,1,0,0,0,0,0,0,0
415,Leptolobium elegans,1,1,1,1,1,0,0,0,0,0,0,0
416,Libidibia ferrea,0,0,0,0,0,0,1,1,1,0,0,0
417,Licania rigida,1,1,1,0,0,0,0,0,0,0,0,0
419,Lithrea molleoides,1,1,0,0,0,0,0,0,0,0,1,1
420,Lonchocarpus cultratus,0,0,0,0,0,0,1,1,1,0,0,0
421,Lonchocarpus sericeus,0,0,0,0,0,0,0,1,1,0,0,0
422,Loudetiopsis chrysothrix,0,0,0,0,0,0,1,0,0,0,0,0
423,Luehea candicans,0,0,0,0,0,0,0,0,1,1,0,0
424,Luehea divaricata,0,0,0,1,1,1,1,1,1,1,0,0
425,Luehea grandiflora,0,0,0,0,0,0,0,1,1,1,0,0
426,Luehea paniculata,0,1,1,0,0,0,0,0,1,1,0,0
428,Mabea angustifolia,0,0,0,0,0,0,1,1,1,0,0,0
429,Mabea fistulifera,1,0,0,0,0,0,0,0,1,1,1,1
430,Mabea taquari,0,0,0,0,0,0,0,1,1,1,1,0
